CPF (3 digitos),Ano nascimento,Idade,Formação,Engenharia ou Computação,Nome completo do curso,Percentual do curso,Anos de formado,Experiencia programação
67,99,24,3,1,Ciência da Computação,None,1,TRUE
71,0,23,2,0,Engenharia Elétrica,90.16,None,TRUE
77,99,24,2,0,Engenharia Química,76.94,None,TRUE
80,99,24,2,0,Engenharia Química,75.58,None,TRUE
59,96,27,1,0,Engenharia Química,81.38,None,TRUE
