CPF (3 digitos),Ano nascimento,Idade,Formação,Engenharia ou Computação,Nome completo do curso,Percentual do curso,Anos de formado,Experiencia programação
82,0,23,1,1,Ciencia da Computação,0.66,,Sim
860,1,22,1,1,Ciencia da Computação,0.66,,Sim
59,99,24,2,0,Engenharia Eletrica,0.99,,Sim
